participant_id,condition,pointer_type,mouse_start_x_position,mouse_start_y_position,mouse_clicked_x_position,mouse_clicked_y_position,distance_to_start_position,circle_count,circle_size,is_circle_clicked,is_target,task_completion_time_in_ms,timestamp
3,5,novel,32,576,2695,294,2677.8896541866693,20,100,True,True,1213.2099999999998,2021-05-12 15:18:58.660866
3,5,novel,21,598,2630,495,2611.032362878714,20,100,True,True,626.247,2021-05-12 15:19:00.588614
3,5,novel,32,591,2784,768,2757.6861677863203,20,100,True,True,780.2940000000001,2021-05-12 15:19:02.212642
3,5,novel,22,573,2903,481,2882.468560106077,20,100,True,True,976.071,2021-05-12 15:19:04.227815
3,5,novel,23,573,2937,564,2914.0138983882694,20,100,True,True,654.67,2021-05-12 15:19:05.972650
3,6,novel,31,594,2624,484,2595.3321560062404,75,50,True,True,1652.655,2021-05-12 15:19:08.996799
3,6,novel,33,565,2658,283,2640.103975225218,75,50,True,True,1159.212,2021-05-12 15:19:11.311461
3,6,novel,19,551,2759,749,2747.1446995016477,75,50,True,True,909.918,2021-05-12 15:19:13.564732
3,6,novel,49,570,2885,479,2837.45960323667,75,50,True,True,1488.596,2021-05-12 15:19:15.868936
3,6,novel,26,588,2900,542,2874.3681044709638,75,50,True,True,904.378,2021-05-12 15:19:18.307924
3,4,novel,15,566,2755,753,2746.3737910197146,75,50,True,True,702.056,2021-05-12 15:19:20.124708
3,4,novel,35,559,2630,490,2595.917178956216,75,50,True,True,1462.195,2021-05-12 15:19:23.012744
3,4,novel,35,560,113,10,555.5033753272792,75,50,False,False,NaN,2021-05-12 15:19:25.742535
3,4,novel,35,560,2658,279,2638.0087187119,75,50,True,True,2318.069,2021-05-12 15:19:26.380767
3,4,novel,36,581,2897,537,2861.338323232679,75,50,True,True,799.143,2021-05-12 15:19:28.404802
3,4,novel,36,576,2881,448,2847.877981936726,75,50,True,True,1011.498,2021-05-12 15:19:30.748802
3,1,novel,20,566,2652,503,2632.753881394917,20,100,True,True,558.5989999999999,2021-05-12 15:19:32.452701
3,1,novel,28,572,2927,548,2899.099342899446,20,100,True,True,665.746,2021-05-12 15:19:34.172972
3,1,novel,18,580,2767,775,2755.907473047671,20,100,True,True,984.752,2021-05-12 15:19:36.948904
3,1,novel,39,570,2685,333,2656.5927425934146,20,100,True,True,1046.612,2021-05-12 15:19:38.843960
3,1,novel,27,559,2918,499,2891.6225548988928,20,100,True,True,893.736,2021-05-12 15:19:40.764764
3,3,novel,9,571,2687,321,2689.64384259329,20,100,True,True,909.01,2021-05-12 15:19:42.637028
3,3,novel,29,559,2772,777,2751.6491418783758,20,100,True,True,723.9910000000001,2021-05-12 15:19:44.516879
3,3,novel,44,570,2898,489,2855.149208009977,20,100,True,True,817.357,2021-05-12 15:19:46.612284
3,3,novel,27,573,2626,491,2600.2932526928575,20,100,True,True,687.1709999999999,2021-05-12 15:19:48.189104
3,3,novel,27,573,31,544,29.27456233660889,20,100,False,False,NaN,2021-05-12 15:19:49.044816
3,3,novel,24,568,2884,590,2860.0846141329457,20,100,True,True,1335.7669999999998,2021-05-12 15:19:51.076943
3,2,novel,24,576,2655,273,2648.3900770090495,75,50,True,True,718.743,2021-05-12 15:19:53.180985
3,2,novel,19,564,2607,480,2589.3628559937288,75,50,True,True,803.184,2021-05-12 15:19:55.204257
3,2,novel,34,584,2896,468,2864.3498389686965,75,50,True,True,1108.874,2021-05-12 15:19:58.388884
3,2,novel,37,577,2761,742,2728.9926712983306,75,50,True,True,787.307,2021-05-12 15:20:00.396970
3,2,novel,19,568,2897,545,2878.0919026327147,75,50,True,True,747.204,2021-05-12 15:20:02.165449
