participant_id,condition,distance_to_start_position,reaction_time_in_ms
1,condition1,975.1333242177707,4575.923000000002
1,condition1,970.9016428042543,734.808
1,condition1,1009.2472442370104,814.5949999999998
1,condition1,1007.1688041237179,597.097
1,condition1,1017.1371588925459,622.87
1,condition1,1020.6355862892494,758.9749999999998
1,condition1,972.7754108734453,790.8439999999998
1,condition1,1007.5738186356372,578.689
1,condition1,1001.155332603288,573.594
1,condition1,1013.4026840303908,2004.5539999999999
1,condition1,995.7735686389752,920.68
1,condition1,972.0704706964407,1039.4160000000002
1,condition1,974.3438817994397,774.321
1,condition1,989.262351451828,593.519
1,condition1,978.1416052903587,1079.45
1,condition1,966.6871262202676,1183.073
1,condition1,965.3703952369783,1096.019
1,condition1,973.858819336766,680.2610000000001
1,condition1,966.979834329548,587.776
1,condition1,980.4590761474955,544.6370000000002
1,condition1,989.5989086493578,504.556
