participant_id,condition,pointer_type,distance_to_start_position,task_completion_time_in_ms
1,1,normal,618.8133805922428,849.544
1,1,normal,757.4760722293477,648.2320000000002
1,1,normal,865.85275884529,1258.421
1,1,normal,737.4076213330047,762.691
1,1,normal,882.1388779551663,734.26
1,2,normal,862.5502883890308,1109.763
1,2,normal,627.7141068989928,681.543
1,2,normal,767.148616631745,793.0840000000002
1,2,normal,716.686821422021,732.084
1,2,normal,875.822470595497,631.266
1,3,normal,749.7206146292096,655.0550000000002
1,3,normal,901.5680784056187,570.506
1,3,normal,887.8541546898341,622.0020000000002
1,3,normal,630.0872955392769,628.7869999999999
1,3,normal,750.0359991360414,697.7149999999998
1,4,normal,721.4048793846629,737.2660000000001
1,4,normal,735.5338197527017,730.5509999999998
1,4,normal,623.4621079103364,671.83
1,4,normal,876.7856066336858,904.066
1,4,normal,875.6260617409694,739.433
1,5,normal,754.0086206403745,701.65
1,5,normal,731.5743297847458,553.0419999999999
1,5,normal,652.6813924113358,585.543
1,5,normal,891.1930206189903,478.201
1,5,normal,895.2010947267659,521.9259999999999
1,6,normal,750.4165509901817,809.539
1,6,normal,866.0652400368001,1089.3039999999999
1,6,normal,742.796068917977,640.731
1,6,normal,620.2330207268877,712.2769999999999
1,6,normal,898.1091247727082,779.0369999999999
2,4,normal,554.0333924954343,1342.389
2,4,normal,837.0047789588779,962.789
2,4,normal,799.5179797853203,814.962
2,4,normal,675.7070371100186,690.028
2,4,normal,666.5883287307092,874.8209999999998
2,5,normal,824.9224205948095,599.0799999999998
2,5,normal,597.9180545860779,676.238
2,5,normal,704.3436661176132,712.1899999999998
2,5,normal,825.0006060603835,757.79
2,5,normal,712.5461388569865,551.276
2,3,normal,834.2397736861985,607.311
2,3,normal,559.6507839715763,572.126
2,3,normal,710.7685980683164,478.9
2,3,normal,842.819079043658,769.424
2,3,normal,674.4064056635287,717.37
2,6,normal,826.4671802316168,797.242
2,6,normal,569.5278746470624,754.488
2,6,normal,665.4562344737632,839.01
2,6,normal,691.1222757226103,668.07
2,6,normal,841.9037949789749,854.909
2,2,normal,572.4657194976833,701.425
2,2,normal,805.8213201448568,1057.3429999999996
2,2,normal,696.9999999999999,609.6089999999998
2,2,normal,657.860927552321,746.7180000000001
2,2,normal,825.5155964607816,870.2579999999998
2,1,normal,574.4736721556524,520.73
2,1,normal,720.4567995376268,538.937
2,1,normal,691.7701930554683,543.362
2,1,normal,807.9702964837259,698.057
2,1,normal,878.2755831742109,538.939
1,2,novel,538.4468404587402,624.891
1,2,novel,811.3852352612782,805.304
1,2,novel,801.4499360534007,909.796
1,2,novel,677.5322870535397,1256.515
1,2,novel,690.7416304234167,1067.809
1,3,novel,682.3562119597067,380.81300000000005
1,3,novel,555.3602434456395,832.84
1,3,novel,842.2143432642309,1239.744
1,3,novel,638.5052858042758,1614.8270000000002
1,3,novel,855.3093007795485,652.8629999999998
1,1,novel,733.4309783476563,673.2660000000002
1,1,novel,805.1863138429517,644.8430000000002
1,1,novel,675.3939591083117,844.2589999999999
1,1,novel,562.1049724028421,533.205
1,1,novel,821.0219241896042,569.881
1,4,novel,812.7902558471035,721.1659999999998
1,4,novel,669.4251265078119,1463.277
1,4,novel,711.8440840521189,692.4760000000001
1,4,novel,577.6028047023318,870.568
1,4,novel,835.7756876100191,1157.442
1,6,novel,660.9341873439442,434.671
1,6,novel,826.3292322071147,1198.858
1,6,novel,580.3318016445419,741.8939999999999
1,6,novel,673.2941407735552,1383.9579999999999
1,6,novel,828.304895554771,872.502
1,5,novel,597.5968540747183,516.365
1,5,novel,834.1372788696115,993.502
1,5,novel,651.2488003827722,705.7710000000002
1,5,novel,730.896025437271,1520.017
1,5,novel,816.0,743.938
2,3,novel,843.1334413958446,671.0980000000001
2,3,novel,688.3865193334339,391.394
2,3,novel,580.9027457328808,495.198
2,3,novel,667.632383876037,1134.245
2,3,novel,842.3740261902667,898.905
2,4,novel,719.123077087643,733.6160000000001
2,4,novel,650.4160207128973,1136.0600000000004
2,4,novel,836.2116956847709,617.3729999999998
2,4,novel,575.4754556017137,546.4290000000002
2,4,novel,809.1062970957522,672.018
2,2,novel,665.9496978000666,1073.2160000000001
2,2,novel,672.4856875800406,391.648
2,2,novel,556.9865348462206,482.48900000000003
2,2,novel,831.5653912952366,751.6030000000002
2,2,novel,837.7804008211223,579.582
2,5,novel,695.1747981623039,438.721
2,5,novel,627.6758717682238,461.77099999999996
2,5,novel,647.3391692150259,597.751
2,5,novel,845.2366532516203,554.413
2,5,novel,809.3707432320494,541.0279999999998
2,1,novel,860.0005813951524,549.224
2,1,novel,585.3904679784255,428.725
2,1,novel,683.0527066046952,813.243
2,1,novel,659.9696962740031,649.227
2,1,novel,855.0368413115308,508.845
2,6,novel,827.6986166473881,803.5169999999999
2,6,novel,562.3068557291472,688.572
2,6,novel,805.5457777184363,852.6110000000001
2,6,novel,656.5972890592832,887.567
2,6,novel,690.2731343461079,654.235
